Title,Ingredients
豆乳红豆戚风杯子蛋糕,"['两个鸡蛋', '10g细砂糖', '26g色拉油', '32g豆乳', '42g低筋面粉', '52g蜜红豆', '32g细砂糖', '#红豆奶油夹心', '25g蜜红豆', '50g淡奶油', '5g糖粉']"
电饭锅蛋糕,"['5个鸡蛋', '3大勺低筋面粉', '2勺白糖', '125ml牛奶', '1勺食用油']"
夏日清爽凉拌菜之凉拌腐竹黄瓜,"['适量腐竹', '适量黄瓜', '两瓣蒜', '两勺白醋', '适量盐', '几粒花椒', '几段干辣椒段']"
白灼油菜,"['1把新鲜油菜', '少许食用油', '1勺酱油', '1勺醋', '一瓣蒜', '按喜好老干妈', '少许香油']"
自制鸡蛋午餐肉饼,"['1个鸡蛋', '4片午餐肉', '50g洋葱', '200克中筋面粉', '600克水', '1勺盐', '1勺花椒粉', '1根小葱']"
低油低糖希腊酸奶蛋糕,"['3个鸡蛋', '150克自制无糖希腊酸奶', '40克低筋面粉', '12克炼奶', '少许玉米淀粉（蛋白）', '少许白醋（蛋白）', '少许香草精', '少许赤藓代糖', '少许低脂牛奶（稀释酸奶用）']"
美味核桃包,"['2克盐', '5克酵母', '适量核桃馅', '300克中粉', '160克红糖水', '10克猪油', '3克可可粉']"
益藜米煎饺,"['适量油', '3个鸡蛋', '适量盐', '少许葱花', '适量水', '一袋110g益藜米', '适量面粉', '适量韭菜', '适量猪肉', '适量葱姜蒜']"
快手纸杯蛋糕，早餐的首选,"['2个鸡蛋', '4g蜂蜜', '50g细砂糖', '60g低筋面粉', '28g牛奶', '20g黄油']"
【YYYY后院小厨】香辣口水鸡,"['鸡腿', '根葱', '片姜', '粒花椒', '小米辣', '香菜', '花椒油', '辣椒油', '香油', '生抽', '醋', '白糖']"
麻辣鸡杂,"['3片姜', '2瓣大蒜', '适量葱', '适量料酒', '适量生抽', '适量醋', '适量糖', '适量剁椒', '1根尖椒', '2根朝天椒', '1根海螺椒', '适量藤椒', '1根胡萝卜', '5根香芹', '半头洋葱', '5个鸡胗', '10-15个鸡心']"
天冷多喝粥，暖身养胃、一学就会的“干贝鲜虾南瓜青菜粥”,"['500克明虾', '10粒干贝', '100克青菜', '150克老南瓜', '1.5杯米']"
花椒盐鸡腿卷,"['一个去骨鸡腿', '一小把花椒', '两小勺盐', '料酒']"
低脂低卡版来北京鸡肉卷,"['1块鸡胸肉', '2个鸡蛋', '1根黄瓜', '2根火腿肠', '150克面粉', '35克开水', '35克冷水', '2克盐']"
康沃尔奶香青口贝,"['600克青口(贻贝，海虹)', '50克凝脂奶油(浓缩奶油)', '1把(30克)小香葱', '4瓣大蒜', '半杯(250毫升)苹果酒', '适量橄榄油']"
简易版豆角酱肉包,"['500克面粉', '5克酵母', '8克糖', '250克温水', '以上是发面部分', '以下馅料部分', '适量  一定买整块的回来自己切丁五花肉', '适量  我放的豆角比较多，这样不腻长豆角', '适量香菇  葱  姜']"
黄油面包卷,"['250克高筋面粉（普通面粉）', '20克黄油', '1个约50g左右鸡蛋', '96克淡奶油', '3克酵母', '3克盐', '20克细砂糖', '20克奶粉', '一个刷面包全蛋液', '40克水']"
烤汤圆,"['1肉团空气炸锅', '适量肉团汤圆', '适量蛋塔皮']"
❗懒人早餐❗零失败拉丝芝士香蕉派❗解馋小零食❗(手抓饼版),"['1张手抓饼皮', '1根香蕉', '1个鸡蛋', '根据实际情况黑芝麻', '10g马苏里芝士碎']"
焖豆腐,"['两块炸豆腐（白豆腐也可以）', '两颗葱', '少许酱油', '一勺淀粉', '盐']"
神仙包子-菜包子😄,"['汤勺慢慢5勺面粉', '5克酵母', '白糖', '温水', '0.5根胡萝卜', '10朵木耳', '1小把粉条', '2个鸡蛋', '0.5个圆白菜', '2片姜', '1瓣蒜', '2根小葱', '自己随便放的十三香、盐、香油、生抽、蚝油、鸡精']"
快手饭--麻辣猪蹄,"['1只猪蹄', '5片姜', '适量克冰糖', '3根葱', '适量勺料酒', '1个八角', '半勺老抽', '2个干辣椒', '几块桂皮', '6，7，8粒花椒', '四勺生抽', '适量克盐', '2片香叶', '几个草果等配料', '各两勺黄豆酱，郫县豆瓣酱']"
秘制辣椒油,"['5勺辣椒面', '喜欢麻多放点花椒                        y', '1个八角', '3～4片香叶', '半块桂皮', '一克盐', '克芝麻', '干料的两倍量油', '一把花生', '15粒干贝', '20只虾米', '两勺白糖', '一勺料酒', '一勺白酒']"
鲜榨果汁来和面，中种法，红心火龙果小花餐包,"['200克红心火龙果（中种）', '60克水（中种）', '430克金山日式吐司粉（中种）', '3克酵母粉（中种）', '3克盐（主面团）', '60克细砂糖（主面团）', '1克酵母粉（主面团）', '20克奶粉（主面团）', '53克鸡蛋（主面团）', '40克黄油（主面团）', '适量芝麻（装饰用）']"
锅巴洋芋箜饭,"['大米  1.5杯', '土豆 350g', '香菇 一朵', '盐 适量', '姜 几片', '豌豆 适量']"
红枣核桃红豆卷黑糖吐司,"['250克高筋粉', '30克黑糖', '3克盐', '25克鸡蛋', '7.5克鲜酵母', '180克全脂牛奶', '25克黄油', '馅料', '50克红枣', '50克红豆', '50克核桃']"
九阳萌盟迷你豆浆机（开苞记录）五谷豆浆，杂粮米糊,"['300克左右（水位线）水', '比例自己琢磨各种食材']"
Catty早早餐~紫菜包饭+甜酒冲蛋,"['甜酒', '紫菜', '黄瓜', '胡萝卜', '鸡蛋', '米饭', '醋', '蟹肉棒', '火腿']"
奶灰莓果墨花酥——黑芝麻雪花酥,"['70克饼干', '30克蔓越莓', '30克坚果', '100克棉花糖', '10克黄油', '40克奶粉', '20克黑芝麻粉']"
黄焖牛脊骨,"['1000克牛脊骨', '8朵香菇', '4片姜', '2个土豆', '1个薄皮青椒', '1根大葱', '2个青红朝天椒', '适量料酒', '1勺生抽', '30克炭烧酱', '少许香菜', '2克胡椒粉', '少许鸡精']"
快炸馒头片（咸香酥脆）,"['个馒头', '克油', '克盐', '味精']"
蛤蜊豆苗汤,"['蛤蜊', '豆苗', '姜丝', '盐']"
中学西用：快手白葡萄酒青口焖面,"['随意白葡萄酒', '20克黄油', '300克半壳青口', '250克扇贝肉', '100g墨鱼汁意面', '随意白胡椒/黑椒', '4瓣蒜', '再不吃马上坏掉，所以强行出个场蘑菇']"
爷爷的生炒排骨,"['2斤 猪小肋排 ', '适量植物油', '适量葱姜蒜 花椒面 料酒', '适量醋 生抽 白糖']"
【香兰世家】就着一杯咖啡，开启法式下午茶——柠香玛德琳,"['150g低筋粉', '4g泡打粉', '150g鸡蛋', '70g糖粉', '120g黄油', '10g柠檬屑']"
快手混合果汁,"['百香果一个', '克果珍适量', '200克凉白开适量']"
意大利红酒牛杆菌多味饭,"['一升鸡汤', '400克意大利arborio米', '200克切碎牛杆菌', '70克切碎意大利咸肉', '200毫升意大利红酒chianti', '一个切碎备用洋葱', '80克帕尔玛芝士', '盐', '适量胡椒', '一把切碎巴西莉']"
把鸡腿当鸡扒😇的面包糠外酥里嫩炸鸡腿,"['四只鸡腿', '适量面包糠', '两个鸡蛋', '一勺面粉', '少许盐、白胡椒粉']"
蒸菜,"['豇豆（茼蒿、芹菜叶、茄子）都可', '面粉', '食用油', '蒜泥', '生抽、醋、辣油、香油']"
爆炒墨鱼仔,"['300g墨鱼仔', '1个青红椒', '1汤勺料酒', '1茶匙盐', '适量葱姜蒜末', '1茶匙豆瓣酱', '适量花椒']"
补气补血养生汤,"['3颗大红枣', '若干粒枸杞', '20颗桂圆干', '1勺红糖']"
红焖猪蹄,"['2只猪蹄', '2个八角', '3片香叶', '1小块土冰糖', '少许料酒', '5根葱', '3片姜', '少许生抽、老抽']"
【生酮低碳】寿司集锦,"['#主料：醋饭', '300g菜花饭', '2tsp苹果醋', '1/2tsp代糖', '1撮盐', '#tuna鱼鸡蛋沙拉', '1个鸡蛋', '一小罐95gtuna鱼', '20g蛋黄酱', '#脆皮肠寿司反卷', '100g菜花饭', '1小根脆皮肠', '切2小条腌萝卜', '2-3片牛油果', '#厚蛋烧', '2个鸡蛋', '2tsp/10ml生抽', '2tsp/10ml代糖', '2tsp/10ml料酒', '2tsp/10ml清水', '随便撒点dashi', '#三文鱼握寿司', '共150g三文鱼厚切', '20-25g/个菜花饭', 'wasabi', '#火炙三文鱼寿司', '共150g三文鱼握寿司', '蛋黄酱', '#豆皮寿司', '油豆腐/豆腐泡', '1生抽', '1代糖', '1水', 'dashi']"
紫薯糯米粉小丸子,"['紫薯', '糯米粉', '白糖', '白芝麻']"
酱油半熟蛋拌饭,"['4个鸡蛋', '适量酱油', '适量糖', '酱油的1.5倍水', '1根辣椒', '半根葱', '适量芝麻']"
西红柿炒鸡蛋,"['2个（一人份的菜量）西红柿', '2个鸡蛋', '3/1大葱', '（可有可无）香菜', '少许香油', '少许盐']"
让人在屏幕前馋哭的袁弘炖牛腩,"['600克牛腩', '3片姜', '15粒花椒', '5个八角', '10克盐', '6片2个香叶香果', '半个洋葱', '1根胡萝卜', '1根大葱', '适量生抽', '适量食用油', '适量小茴香', '适量干辣椒', '8瓣大蒜', '3片陈皮']"
糖心氽丸盅,"['一个鸡蛋', '40g猪肉馅', '5枚红枣', '3g盐', '5g味精', '100g高汤', '4g香油', '4g葱', '4g姜', '3g料酒', '2g胡椒粉', '2g白糖', '5g淀粉']"
意式浓汤基本公式：番茄牛肉浓汤、奶油南瓜浓汤,"['克南瓜', '克牛奶', '克淡奶油', '适量黑胡椒等意式香料', '适量盐（或糖）']"
起缘的腊八粥,"['30克糯米', '2颗红枣', '30克红豆', '30克黑米', '10颗桂圆', '20粒花生', '30克小玉米碴子', '1块桂花黑糖', '10粒起缘有机枸杞', '30克藜麦']"
罗汉果山楂茶,"['1个罗汉果', '5-8片山楂干']"
自制蒜香红辣椒油（油泼辣子）,"['小汤山红尖椒', '花生油', '蒜', '花椒', '八角', '桂皮']"
鸭架冬瓜汤,"['适量盐', '适量姜片', '适量冬瓜', '适量葱末', '2个八角', '适量料酒', '适量清水', '500g鸭架']"
麻辣爆牛肚,"['300克熟牛肚', '20粒花椒', '适量干红辣椒', '1个青辣椒（装饰作用，可不放）', '适量葱花，姜丝，蒜末', '10克酱油', '10克蚝油', '5克盐', '40克植物油']"
柠檬酸辣泡鸡爪,"['6只鸡爪', '根香菜', '6个蒜', '4勺生抽', '4勺陈醋', '1勺白糖', '4个小米椒']"
培根焗饭,"['1/3根胡萝卜', '半个个洋葱', '2个鸡蛋', '半个柿子椒', '适量蒜、豌豆玉米、黑胡椒、黄油', '2片培根', '1/3根胡萝卜', '一碗剩米饭', '适量马苏里拉芝士']"
青椒炒肉,"['1个青椒', '0.2kg（四两）猪瘦肉', '盐', '酱油', '豆瓣酱', '脆酥粉']"
凉拌蝉蛹,"['适量葱', '500克蝉蛹', '盐']"
豆腐花,"['110-120克黄豆', '3克内脂', '1700-1800ml水']"
山药核桃面包,"['300g黑麦粉', '220g高筋面粉', '100g法式老面团', '150g山药泥', '240g核桃', '100g（肉桂砂糖）细糖', '10g盐', '14g鲜酵母', '200g水', '1300g松饼面团', '5g（肉桂砂糖）肉桂粉', '500g高筋面粉', '20g鲜酵母', '10g盐', '25g奶油', '300g水']"
红糖开花馒头,"['材料一:', '克  普通面粉     200', '克干酵母               2', '克白糖                  5', '克水                130    ', '克(可不加)奶粉              20   ', '材料二:', '克泡打粉               1', '55克面粉          ', '克红糖                    55', '克猪油或玉米油    10', '可不加  炒熟芝麻   少量', '可不加红枣剪碎         少量', '可不加核桃碎           少量']"
煎面包片三明治（简单版）,"['片面包片                     3                         ', '个鸡蛋                         3 ', '片芝士片                      3', '片火腿或香肠              3']"
香滋滋的鸡蛋豆腐煲,"['1块老豆腐', '2个鸡蛋', '2根香芹', '2小把豌豆', '2个小米椒', '1瓣大蒜', '4片大葱', '1调料勺白糖', '适量白醋', '8勺蚝油']"
花儿朵朵的甜蜜时光,"['戚风蛋糕', '蓝风车淡奶油']"
腐乳烧鸡块,"['1只鸡', '4勺腐乳汁', '1勺料酒', '1勺老抽', '3个干辣椒', '1勺十三香', '2个青椒', '1勺香醋', '1勺蚝油', '3片生姜', '少许葱']"
健康无添加剂家常菜,['克盐，菜油，青椒，姜，蒜，花椒，小葱，']
樱桃小丸子饼干【11月北鼎烤箱食谱】,"['210g低筋面粉', '35克全蛋液', '110克黄油', '50克糖粉', '若干饼干模具']"
家乡塌饼,"['一小把韭菜', '230克豆腐', '两小勺油', '适量盐', '500克面', '适量水']"
纯素红烧冬瓜,"['500克冬瓜', '适量干发香菇', '适量新鲜杂菇']"
苹果梨泥,"['半个苹果', '1个蜜梨', '适量温水', '']"
西芹香干,"['5-6根西芹', '2块豆干', '10颗左右腰果']"
豆角焖面,"['150克豆角', '250克鲜面条', '5瓣儿大蒜', '1根葱', '30ml生抽', '8克白糖', '8克盐', '20ml香油']"
法国传统点心玛德莲蛋糕,"['80g黄油', '2颗鸡蛋', '35g牛奶', '60g低筋面粉', '2个柠檬', '110g白砂糖', '3g泡打粉', '1套玛德莲模具']"
玉米渣渣鸡蛋羹,"['50g玉米渣', '1个鸡蛋', '1/2包藕粉', '500g水']"
辣子鸡,"['500g三黄鸡', '50g干辣椒', '10g花椒', '适量香葱', '适量白芝麻', '6g盐', '10g生抽', '10g料酒', '5g胡椒粉']"
卷心菜蕃茄炒尖椒,"['半个包菜', '1个蕃茄', '3个尖椒', '1根葱', '1片姜', '1瓣蒜', '适量油', '3勺生抽', '适量盐', '少许王守义十三香']"
鲍鱼海鲜小米粥,"['数只鲍鱼', '若干蟹肉', '50g大米', '20g小米', '少许姜', '20g高粱']"
法国长棍面包,"['法国粉', '克盐', '克酵母', '克水', '鲁邦种']"
好吃到哭的风味茄子,"['4个茄子', '2个尖椒', '香菜', '葱', '姜', '蒜', '花椒', '干辣椒', '白芝麻', '克盐', '克糖', '勺生抽', '陈醋', '耗油', '料酒']"
＃酸奶盆栽＃,"['莫斯利安酸奶', '柔滑香草慕斯味奥利奥巧轻脆', '薄荷叶']"
秘制虾仁炒饭,"['2个鸡蛋', '少许虾仁', '一大勺剁椒酱', '一小勺椒盐', '少许玉米粒', '两碗隔夜米饭']"
芒果流心慕斯,"['麦芽糖     30g6寸半圆海绵蛋糕一个', '芒果粒     25g芒果泥           250g', '芒果泥     100g动物性淡奶油     250g', '细砂糖          30g+20g', '吉利丁          2片', '糖浆            少许', '装饰的大芒果切片   适量', '新鲜樱桃        适量']"
快速又好吃的麻薯小面包,"['250克麻薯预拌粉', '25克高筋面粉', '20克糖粉', '60克淡味黄油（或任何油类）', '55克全蛋', '185克牛奶', '适量黑芝麻（熟）', '以上为15颗～16颗的份量 （我每次都做两份才够吃）']"
冰镇 港式奶茶,"['600ml水', '4包红茶包茶', '200ml黑白淡奶', '40g白糖']"
辣白菜,"['700g大白菜（山东胶菜最好）', '4茶勺盐（刹白菜）', '4茶勺盐（腌白菜）', '1茶勺味精', '25g白糖', '根据自己口味辣椒面', '根据辣椒面的量热水', '1头（或更多）蒜（白皮）', '可加可不加（适量）苹果&梨']"
半熟巧克力砖-Terrine de chocolat,"['60g普通黑巧克力(我用的市售黑巧克力豆浓度未知)', '90g85%黑巧克力', '115g黄油', '30g(我已经减半了，不要减了)糖', '135g鸡蛋', '15g朗姆酒/威士忌(可选)', '1g盐(用了盐之花嘻嘻~)']"
海参泡发,"['8只海参', '500克纯净水']"
宝宝辅食之三文鱼泥,"['三文鱼', '柠檬']"
五香萝卜干,"['萝卜', '芝麻', '五香粉']"
萝卜清炖牛筋#秋季保胃战#,"['500g牛筋', '500g萝卜', '一块姜', '1匙料酒', '按口味加入盐']"
醋漬聖女果,"['600g圣女果', '醋漬汁', '300ml米醋', '50g砂糖', '1茶匙鹽']"
红枣酸奶蛋糕,"['1勺白砂糖', '2个鸡蛋', '80克面粉', '1瓶安慕希酸奶', '5颗红枣']"
糖糕,"['适量水', '700g糯米粉', '300g粘米粉', '250—300g红糖', '葡萄干', '小枣', '芝麻', '花生', '糖桂花/干桂花', '粽叶']"
菜干黄豆排骨汤,"['一棵白菜干', '一条切块排骨', '手抓一把黄豆', '适量盐']"
快手迷你小汉堡,"['250克高筋粉(王后日式吐司粉)', '10克奶粉', '25克细砂糖', '3克盐', '165克(根据面粉吸水性酌情增减)一个鸡蛋加水', '3克干酵母', '25克黄油']"
芒果流心铁盒慕斯,"['300克芒果', '300克淡奶油', '20克吉利丁粉', '35克糖粉或者白砂糖', '500克自制老酸奶', '适量水']"
折腾品集,['1面粉']
方便版蘑菇豆腐汤,"['1块内酯豆腐', '1盒蟹味菇', '半罐小猪呵呵午餐肉', '适量生抽 冰糖粉 盐 姜粉 胡椒粉']"
飞利浦空气炸锅菠萝吐司（可用香蕉）快手早餐,"['一颗鸡蛋', '2片白土司', '1根擀面杖', '几片菠萝', '洗菠萝用盐水', '可加可不加火腿片']"
红烧牛肉~好吃到爆,"['1-2斤牛腩', '4-5勺~家用瓷勺生抽', '1-2个八角', '4片姜', '1-2个干辣椒', '适量盐', '半个大葱', '家用瓷勺1勺老抽', '两三片白萝卜~去腥用', '适量土豆或者胡萝卜', '一包自己配的香料包', '适量鸡精', '五六个老冰糖']"
艾草煎蛋,"['适量艾草芯', '3个鸡蛋', '少许盐、鱼露、糖']"
菠萝炒猪小肠,"['700克猪小肠', '一个菠萝', '200克虎皮青红椒', '10克姜片', '20克葱', '50克白酒', '5克盐', '5克糖', '10克生抽', '10克生粉水']"
香葱千层饼-饺子皮版,"['数张饺子皮', '适量葱', '适量盐', '适量油']"
黑芝麻流心布丁,"['200g内酯豆腐', '35g糖', '120g牛奶', '6g吉利丁片', '40g黑芝麻酱', '#黑芝麻流心', '20g黑芝麻酱', '20g牛奶', '5g糖']"
凉拌西兰花,"['一颗西兰花', '盐', '糖', '醋', '酱油', '芝麻酱', '鸡精', '香油', '老干妈', '蒜泥']"
红油金针菇拌粉丝,"['把金针菇', '克葱花', '适量大蒜', '适量麻辣红油（查看往期菜谱）', '一根胡萝卜', '适量粉丝']"
🔥酥掉渣❗️自制爆浆蓝莓蛋挞💯完爆KFC❗️❗️,"['6个蛋挞皮', '适量蓝莓', '1个鸡蛋', '100克纯牛奶', '10克细砂糖', '10克炼乳']"
鲜肉粽子,"['3斤糯米', '40张粽叶', '500g猪肉', '一根葱', '少许姜', '适量酱油', '1汤匙老抽', '各一小枚八角，肉桂', '适量盐']"
比肉还香的胡萝卜虾皮素包子,"['300克面粉', '3克酵母', '180克温水', '5克糖', '1根胡萝卜', '1把虾皮', '3个鸡蛋', '6朵木耳', '1小把粉丝', '1张豆皮', '1克胡椒粉', '1小勺花椒粉', '1勺花椒油', '1大勺生抽', '1勺蚝油', '2克盐', '适量玉米油']"
青椒炒茄子炒黑木耳,"['20朵木耳', '4个青椒', '3个茄子', '5克盐', '2勺蚝油', '200克水', '3个小米椒']"
卤鸡,"['十块钱左右卤料', '一斤大蒜', '半斤姜', '两只鸡', '两斤鸡脚', '两斤鹌鹑蛋', '半包勺十三香', '半包卤粉', '适当盐巴', '两勺味精', '两勺豆瓣酱', '两勺老抽', '半块卤豆腐']"
开花馒头（面包机发面）,"['500g面粉', '250ml水', '2小勺酵母粉', '1小勺盐', '2大勺红糖']"
减肥第二日香浓低卡午餐,"['1袋无蔗糖酸奶', '400g红薯', '10个左右圣女果']"
爆炒猪肝,"['一猪份猪肝', '三根大蒜', '三枚青椒', '三条葱', '用来增加酱汁料酒酱油']"
百变开胃酸辣汤,"['猪肉', '豆腐', '香菇', '黑木耳', '胡萝卜', '笋', '高汤或清水', '老抽', '醋', '白胡椒粉', '食用油', '葱', '淀粉', '鸡蛋']"
双皮奶,"['500克牛奶', '3-4个蛋白', '40克糖', '适量蜜豆', '适量草莓酱']"
【独家秘制】千层可丽饼蛋糕,"['面饼的糊：', '90ml黄油', '720ml牛奶', '6个鸡蛋', '400ml低筋面粉', '100ml白砂糖', '2ml细盐', '奶油馅：', '1个鸡蛋', '15ml白砂糖', '15ml低筋面粉', '15ml玉米淀粉', '240ml牛奶', '7.5ml香草精', '7.5ml热水', '打发奶油：', '400ml鲜奶油', '30ml白砂糖']"
夏日就爱这个馅的饺子，清热解毒不油腻~烫面西葫芦蒸饺,"['2个西葫芦', '1把粉丝', '300克面粉', '2勺生抽', '5克白糖', '适量包子饺子粉', '3克胡椒粉', '适量盐', '适量香油', '1勺蚝油', '适量鸡精', '1勺油辣椒']"
熏肉蒸饼,"['2斤带皮猪前槽肉', '老卤水', '八角', '香叶', '干辣椒', '20克冰糖', '两大勺盐', '一碗中筋面粉', '洋葱丝', '适量开水', '甜面酱']"
拌双笋,"['150克净嫩春笋', '150克净莴苣笋', '5克麻油', '6克绵白糖', '8克精盐', '1克味精', '5克香葱', '15克植物油']"
腊八粥,"['2把糯米', '1把红豆', '1把薏米', '10粒莲子', '1把花生', '1把黑米', '1把红豆', '1把绿豆', '1把燕麦米', '1勺冰糖', '8颗红枣', '5颗桂圆']"
自制椰蓉,['1个老椰子']
红薯西米丸,"['黑芝麻馅', '500克红薯', '100克西米', '半根红萝卜']"
零失败的低脂酸奶纸杯蛋糕,"['3个鸡蛋', '150克酸奶', '50克左右低筋面粉', '少量色拉油', '适量椰蓉', '适量葡萄干', '20克白糖', '两滴白醋']"
12个月以上辅食紫薯奶黄包,['低筋面粉250g 熟紫薯150g 肉泥80g （40g熟肉+40g水打肉泥） 牛奶50g 玉米油/猪油5g']
辣酱鸡翅根,"['鸡翅根8个', '韩国拌饭辣酱2小勺', '芝麻酱 1小勺', '白糖1.5小勺', '酱油1小勺']"
滑蛋虾仁,"['克虾仁', '个鸡蛋', '勺料酒', '克盐', '勺淀粉']"
鲜掉舌头鼻子的上汤白菜（超级简单）,"['一颗白菜（中等大小）', '一把小红虾', '一把虾米/海米', '可替换成其他丸子墨鱼丸', '适量淀粉', '一瓣蒜头']"
糙米藜麦鸡肉粥,"['100克鸡胸肉', '10克海米丁', '100克糙米', '10克藜麦', '20克青菜', '适量姜丝', '1000克纯净水', '1小勺盐']"
瑞士卷（100%成功）,"['4个蛋黄', '4个蛋白', '40g玉米油', '40g牛奶', '40g低筋面粉', '10g糖（蛋黄）', '30g糖（蛋白）', '奶油部分', '250g动物性淡奶油', '25g糖']"
紫甘蓝奶昔,"['2片紫甘蓝', '1根香蕉', '250克牛奶']"
养乐多百香果特调,"['1个百香果', '1瓶养乐多或美益添', '适量凉白开', '少许蜂蜜']"
小花卷,"['250G面粉', '143G水', '2.5ml\\1,5G酵母', '4根小葱', '1.15 : 2水 ：高粉']"
【减脂零食】香菇香辣牛肉,"['1块（180g）牛排（可用新鲜牛肉，不带筋）', '2大勺辣椒粉', '5个干辣椒', '适量熟白芝麻', '适量（可以多放点，干煸出来的姜丝很好吃！）姜', '少许大葱', '10朵（小）干香菇', '1/2大勺生抽', '适量盐', '1茶匙糖', '1/2大勺十三香']"
奶皇马拉糕,"['1只鸡蛋', '15克粟粉', '15克吉士粉', '10克奶油', '35克糖', '1杯牛奶', '2只鸡蛋', '90克低筋面粉', '35克糖', '20克奶油', '20克牛奶', '2克泡打粉', '15吉士粉']"
万圣节奥利奥蜘蛛,"['奥利奥', '黑、白巧克力']"
苹果红萝卜水（九阳豆浆机版）,"['1个苹果', '半根红萝卜', '一小把7,8颗无花果', '1100ml水']"
泰式青柠檬蒸鱼,"['一条（500克）黄花鱼（鲈鱼、桂鱼）', '一个青柠檬', '3汤勺（约1-2个柠檬）柠檬汁', '3汤勺鱼露', '1汤勺白砂糖', '4-6个小米辣椒', '2条罗勒叶（香菜）', '5粒蒜头', '1到2颗香茅', '少许盐']"
清炒竹笋,"['适量盐', '根据自己需求购买笋', '1根葱']"
蜜汁鸡腿串,"['5只鸡腿', '4勺料酒', '3勺生抽', '2勺蜂蜜', '1勺糖', '一个勺尖盐', '1勺奥尔良鸡粉', '四分之一勺鸡精', '2勺孜然粒']"
烧麦馅儿,"['350克糯米', '250克猪肉', '200克香菇', '2勺老抽', '2勺蚝油', '4勺生抽', '2勺糖', '200克木耳', '0.2勺五香粉', '0.2克白胡椒粉']"
甬安香粥,"['白粥', '酱油', '麻油', '糖', '盐']"
五彩炒饭,"['2-3只鸡蛋', '中等虾6个左右虾', '2朵香菇', '1根胡萝卜', '1根黄瓜', '适量甜豆', '没限制，喜欢吃就多放火腿', '其他你喜欢的食材也可以酌情添加哦']"
苹果麦冬银耳莲子羹,"['苹果', '麦冬', '银耳', '红枣', '老冰糖', '水']"
豌豆胡萝卜丁玉米粒夏日小炒,"['1小碗玉米粒', '一小碗胡萝粒', '两小碗豌豆', '一碗火腿丁', '少许盐', '2个鸡蛋', '少许葱姜末']"
闽南冬至笋汤圆,"['糯米粉', '冬笋', '蘑菇', '瘦肉', '青蒜（大蒜叶子）', '芹菜', '地瓜粉', '酱油', '盐']"
黑凉粉与白凉粉,"['30克黑凉粉', '1000ml水', '分界线————', '20克白凉粉', '250ml（一瓶）纯牛奶', '适量冰糖']"
口口腰果酥（附黄油冬天软化小技巧）,"['160克黄油', '3个蛋黄', '272克低筋面粉', '105克细砂糖', '3克泡打粉', '1克盐', '适量生腰果']"
无糖减脂隔夜燕麦酸奶杯,"['35克燕麦片', '220克自制脱脂无糖酸奶', '20克脱脂牛奶', '30g克紫薯泥（可不加）', '一条克大麦若叶（或抹茶粉）', '适量赤藓糖醇', '有啥用啥干各种水果', '30g香蕉', '10克每日坚果']"
和风鸡肉野菌意粉,"['1把意大利面', '适量椎茸', '适量日本shimeji蘑菇', '适量蚝菇', '1个鸡腿肉', '1/4个洋葱', '一小把香菜（可选）', '2条Anchovy（可选）', '少许油', '少许盐', '少许高汤（可用水代替）', '少许碎黑胡椒', '开水']"
无油版韩式炸鸡,"['500g鸡翅根', '30g奥尔良烤翅料', '韩国辣酱', '番茄沙司', '蜂蜜', '蒜泥', '1个鸡蛋', '红薯淀粉或者玉米淀粉', '面包糠']"
紫薯酸奶,"['紫薯', '酸奶', '牛奶', '坚果', '巧克力', '草莓']"
葱油饼--by 吃饱了没有啊 20191019,"['根小葱', '饺子皮', '克盐', '黑胡椒', '花生油']"
荷兰豆肉馅饼,"['1斤荷兰豆', '250克猪肉', '适量生抽', '1块姜', '1小段大葱', '适量盐', '适量鸡精', '适量十三香', '适量鸡精', '适量香油', '适量黑胡椒', '面饼部分', '500g面粉', '5g酵母', '300g水']"
不一样的韭菜馅饺子,"['饺子皮：', '适量高粉', '适量水', '饺子馅：', '1把韭菜', '4个鸡蛋', '2勺虾皮', '2勺盐', '1勺香油', '1勺生抽', '1勺白糖', '1勺蚝油']"
芝士焗饭,"['1～3碗米饭', '半个洋葱', '半根根胡萝卜', '个人喜欢马苏里拉', '个人喜欢黑胡椒粉', '个人喜欢玉米粒', '个人喜欢盐', '两只左右鸡蛋', '个人喜欢腊肉']"
葱肉饺子,"['葱', '肉馅', '油', '酱油', '香油', '盐', '糖', '花椒面', '饺子皮']"
自制蒜蓉辣椒酱,"['1斤朝天椒', '5大个大蒜', '2小块姜', '适量瑶柱', '适量食用油', '半勺白砂糖', '1勺盐', '2勺生抽', '一瓶盖白酒']"
全麦吐司（面包机）,"['300g全麦面粉', '1个(蛋液50g左右)鸡蛋', '140g牛奶', '4g速发酵母', '35g黄油', '1g盐', '40g白糖']"
日式咖喱蛋包饭,"['3个鸡蛋', '4块咖喱块', '1个洋葱', '1碗米饭', '2个土豆', '半根胡萝卜', '少许盐']"
陕西捞捞凉粉,"['食材', '1小碗(以下统一说的都是吃米饭的那种小碗)土豆淀粉', '5小碗水', '一小块(我是超市买的现成的面筋)面筋', '一根黄瓜', '调料:', '适量盐', '适量醋', '适量味精', '适量酱油', '5瓣捣碎蒜蓉']"
潮汕蒸鸭脯肉,"['一只鸭', '1勺酱油', '1勺糖', '两个蒜头', '适量玉米油', '1根葱', '1个辣椒']"
